,accuracy,precision,recall,f1,roc_auc
random_forest,0.8517711796400321,0.7858617131062952,0.6343190337359433,0.7020050702926942,0.9140253961988052
xgboost,0.8489625128969391,0.7598944591029023,0.6597251145356101,0.7062757775052948,0.917310368807893
